,ID,N_VICTIMAS,FECHA,AAAA,MM,DD,HORA,HH,LUGAR_DEL_HECHO,TIPO_DE_CALLE,Calle,Cruce,Dirección Normalizada,COMUNA,PARTICIPANTES,VICTIMA,ACUSADO
174,2017-0040,1,2017-04-03,2017,4,3,09:40:00,9,CAMINO CIUDAD UNUVERSITARIA Y AV. TTE. GUIRALDES,AVENIDA,"GUIRALDES, INT.",Sin Cruce,"GUIRALDES, INT. 2699",13,MULTIPLE,AUTO,MULTIPLE
175,2017-0041,1,2017-04-03,2017,4,3,23:15:00,23,BALDOMERO FERNANDEZ MORENO 2186,CALLE,"FERNANDEZ MORENO, BALDOMERO",Sin Cruce,"FERNANDEZ MORENO, BALDOMERO 2186",7,MOTO-AUTO,MOTO,AUTO
176,2017-0042,1,2017-04-10,2017,4,10,09:00:00,9,AV. LEOPOLDO LUGONES PKM 6900,GRAL PAZ,"LUGONES, LEOPOLDO AV.",Sin Cruce,"LUGONES, LEOPOLDO AV.",14,MOTO-CARGAS,MOTO,CARGAS
177,2017-0045,1,2017-04-14,2017,4,14,06:15:00,6,NOGOYA 5940,CALLE,NOGOYA,Sin Cruce,NOGOYA 5940,10,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO
178,2017-0047,1,2017-04-23,2017,4,23,06:30:00,6,AV. ARGENTINA Y AV. CORVALAN,AVENIDA,ARGENTINA AV.,CORVALAN,ARGENTINA AV. y CORVALAN,8,MOTO-AUTO,MOTO,AUTO
179,2017-0049,1,2017-04-27,2017,4,27,18:16:00,18,AV. FERNANDEZ DE LA CRUZ Y VARELA,AVENIDA,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",VARELA AV.,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. y VARELA AV.",8,PEATON-PASAJEROS,PEATON,PASAJEROS
180,2017-0050,2,2017-04-28,2017,4,28,11:08:08,11,AU PERITO MORENO Y RAMAL ENLACE AU1/AU6,AUTOPISTA,AUTOPISTA PERITO MORENO,Sin Cruce,AU PERITO MORENO Y RAMAL ENLACE AU1/AU6,9,MOTO-CARGAS,MOTO,CARGAS
181,2017-0051,1,2017-05-01,2017,5,1,03:47:47,3,AU DELLEPIANE 2400,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,Sin Cruce,AU DELLEPIANE 2400,7,AUTO-AUTO,AUTO,AUTO
182,2017-0052,1,2017-05-05,2017,5,5,03:40:00,3,AV. GRAL. PAZ Y GOLETA JULIA,GRAL PAZ,"PAZ, GRAL. AV.",GOLETA SANTA CRUZ,"PAZ, GRAL. AV. y GOLETA SANTA CRUZ",8,PEATON-CARGAS,PEATON,CARGAS
183,2017-0053,1,2017-05-05,2017,5,5,20:16:22,20,VIEYTES Y VILLARINO,CALLE,VIEYTES,VILLARINO,VIEYTES y VILLARINO,4,MOTO-CARGAS,MOTO,CARGAS
184,2017-0054,1,2017-05-07,2017,5,7,21:00:00,21,AV. DE LOS CONSTITUYENTES Y PEDRO MORAN,AVENIDA,DE LOS CONSTITUYENTES AV.,"MORAN, PEDRO","DE LOS CONSTITUYENTES AV. y MORAN, PEDRO",15,MOTO-AUTO,MOTO,AUTO
185,2017-0055,1,2017-05-09,2017,5,9,08:30:00,8,AV. DE LOS CONSTITUYENTES 4900,AVENIDA,DE LOS CONSTITUYENTES AV.,Sin Cruce,DE LOS CONSTITUYENTES AV. 4900,12,AUTO-AUTO,AUTO,AUTO
186,2017-0058,1,2017-05-09,2017,5,9,23:10:00,23,AV. CORDOBA Y LIBERTAD,AVENIDA,CORDOBA AV.,LIBERTAD,CORDOBA AV. y LIBERTAD,1,PEATON-MOTO,PEATON,MOTO
187,2017-0059,1,2017-05-11,2017,5,11,09:24:00,9,BRASIL Y LIMA,CALLE,BRASIL,LIMA,BRASIL y LIMA,1,PEATON-PASAJEROS,PEATON,PASAJEROS
188,2017-0060,1,2017-05-13,2017,5,13,07:20:00,7,AV. ESCALADA Y AV. FERNANDEZ DE LA CRUZ,AVENIDA,ESCALADA AV.,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.","ESCALADA AV. y FERNANDEZ DE LA CRUZ, F., GRAL. AV.",8,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO
189,2017-0061,1,2017-05-15,2017,5,15,13:29:30,13,PARAGUAY Y AV. CALLAO ,AVENIDA,PARAGUAY,CALLAO AV.,PARAGUAY y CALLAO AV.,2,PEATON-MOTO,PEATON,MOTO
190,2017-0062,1,2017-05-15,2017,5,15,16:00:00,16,AV. JUAN B JUSTO Y SAN BLAS,AVENIDA,"JUSTO, JUAN B. AV.",SAN BLAS,"JUSTO, JUAN B. AV. y SAN BLAS",10,MOTO-CARGAS,MOTO,CARGAS
191,2017-0063,1,2017-05-17,2017,5,17,10:13:00,10,CHILE Y AV. 9 DE JULIO,AVENIDA,CHILE,9 DE JULIO AV.,CHILE y 9 DE JULIO AV.,1,PEATON-PASAJEROS,PEATON,PASAJEROS
192,2017-0064,1,2017-05-20,2017,5,20,05:00:00,5,MAIPU Y PERON,CALLE,MAIPU,"PERON, JUAN DOMINGO, TTE. GENERAL","MAIPU y PERON, JUAN DOMINGO, TTE. GENERAL",1,CARGAS-AUTO,CARGAS,AUTO
193,2017-0065,1,2017-05-22,2017,5,22,16:00:00,16,AV. SUAREZ Y HERRERA,AVENIDA,SUAREZ AV.,HERRERA,SUAREZ AV. y HERRERA,4,BICICLETA-CARGAS,BICICLETA,CARGAS
194,2017-0066,1,2017-05-22,2017,5,22,18:10:00,18,AV. SAN MARTIN Y FRAGATA SARMIENTO,AVENIDA,SAN MARTIN AV.,FRAGATA PRES. SARMIENTO,SAN MARTIN AV. y FRAGATA PRES. SARMIENTO,15,PEATON-PASAJEROS,PEATON,PASAJEROS
195,2017-0067,1,2017-05-23,2017,5,23,02:45:00,2,AV. DIRECTORIO Y AV. JOSE MARIA MORENO,AVENIDA,DIRECTORIO AV.,"MORENO, JOSE MARIA AV.","DIRECTORIO AV. y MORENO, JOSE MARIA AV.",6,MOTO-CARGAS,MOTO,CARGAS
196,2017-0068,1,2017-05-27,2017,5,27,19:50:00,19,AV. TTE. FRANCISCO RABANAL 2950,AVENIDA,"RABANAL, FRANCISCO, INTENDENTE AV.",Sin Cruce,"RABANAL, FRANCISCO, INTENDENTE AV. 2950",8,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO
197,2017-0069,1,2017-05-24,2017,5,24,14:15:00,14,AV. GRAL. PAZ Y ULRICO SCHMIDL,GRAL PAZ,"PAZ, GRAL. AV.","SCHMIDL, ULRICO","PAZ, GRAL. AV. y SCHMIDL, ULRICO",9,MOTO-SD,MOTO,SD
198,2017-0070,1,2017-05-30,2017,5,30,13:20:00,13,NUEVA YORK  3696,CALLE,NUEVA YORK,Sin Cruce,NUEVA YORK 3696,11,PEATON-AUTO,PEATON,AUTO
199,2017-0072,1,2017-06-03,2017,6,3,23:20:00,23,AV. DE LOS CONSTITUYENTES Y VALLEJOS,AVENIDA,DE LOS CONSTITUYENTES AV.,VALLEJOS,DE LOS CONSTITUYENTES AV. y VALLEJOS,12,AUTO-AUTO,AUTO,AUTO
200,2017-0073,1,2017-06-04,2017,6,4,09:00:00,9,AV. CORRIENTES Y ECUADOR,AVENIDA,CORRIENTES AV.,ECUADOR,CORRIENTES AV. y ECUADOR,3,MOTO-AUTO,MOTO,AUTO
201,2017-0074,1,2017-06-04,2017,6,4,12:50:00,12,CASCO 133,CALLE,CASCO,Sin Cruce,CASCO 133,9,SD-SD,SD,SD
202,2017-0075,1,2017-06-12,2017,6,12,22:38:00,22,AV. DE MAYO Y AV. 9 DE JULIO,AVENIDA,DE MAYO AV.,9 DE JULIO AV.,DE MAYO AV. y 9 DE JULIO AV.,1,PEATON-MOTO,PEATON,MOTO
203,2017-0076,1,2017-06-13,2017,6,13,14:50:00,14,AV. RAMON CASTILLO Y CALLE 12,AVENIDA,"CASTILLO, RAMON S., PRES. AV.",CALLE 12 (NO OFICIAL),"CASTILLO, RAMON S., PRES. AV. y CALLE 12 (NO OFICIAL)",2,PEATON-CARGAS,PEATON,CARGAS
204,2017-0077,1,2017-06-17,2017,6,17,23:45:00,23,FRAY JUSTO SANTAMARIA DE ORO 1930,CALLE,FRAY JUSTO SANTAMARIA DE ORO,Sin Cruce,FRAY JUSTO SANTAMARIA DE ORO 1930,14,MOTO-CARGAS,MOTO,CARGAS
205,2017-0079,1,2017-06-19,2017,6,19,16:26:00,16,MEXICO Y DEAN FUNES,CALLE,MEXICO,DEAN FUNES,MEXICO y DEAN FUNES,3,MOTO-CARGAS,MOTO,CARGAS
206,2017-0080,1,2017-06-22,2017,6,22,10:15:00,10,AV. JUAN B ALBERDI Y AV. ESCALADA,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.",ESCALADA AV.,"ALBERDI, JUAN BAUTISTA AV. y ESCALADA AV.",9,PEATON-CARGAS,PEATON,CARGAS
207,2017-0082,1,2017-06-25,2017,6,25,22:40:00,22,AV. ENTRE RIOS Y AV. BRASIL,AVENIDA,ENTRE RIOS AV.,BRASIL,ENTRE RIOS AV. y BRASIL,4,PEATON-AUTO,PEATON,AUTO
208,2017-0083,1,2017-07-04,2017,7,4,00:25:00,0,AV. JUAN B ALBERDI Y GUARDIA NACIONAL,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.",GUARDIA NACIONAL,"ALBERDI, JUAN BAUTISTA AV. y GUARDIA NACIONAL",9,MOTO-CARGAS,MOTO,CARGAS
209,2017-0084,1,2017-07-05,2017,7,5,12:49:00,12,AV. DEL LIBERTADOR Y RODRIGUEZ PEÑA,AVENIDA,DEL LIBERTADOR AV.,RODRIGUEZ PE?A,DEL LIBERTADOR AV. y RODRIGUEZ PEÃ‘A,2,PEATON-PASAJEROS,PEATON,PASAJEROS
210,2017-0085,1,2017-07-07,2017,7,7,14:15:00,14,TACUARI Y AV. MARTIN GARCIA,AVENIDA,TACUARI,"GARCIA, MARTIN AV.","TACUARI y GARCIA, MARTIN AV.",4,PEATON-PASAJEROS,PEATON,PASAJEROS
211,2017-0086,1,2017-07-09,2017,7,9,07:30:00,7,AV. RIVADAVIA Y MURGUIONDO,AVENIDA,RIVADAVIA AV.,MURGUIONDO,RIVADAVIA AV. y MURGUIONDO,9,PEATON-MOTO,PEATON,MOTO
212,2017-0087,1,2017-07-10,2017,7,10,10:45:00,10,24 DE NOVIEMBRE 390,CALLE,24 DE NOVIEMBRE,Sin Cruce,24 DE NOVIEMBRE 390,3,PEATON-AUTO,PEATON,AUTO
213,2017-0088,1,2017-07-10,2017,7,10,22:30:00,22,AV. PASEO COLON Y BRASIL,AVENIDA,PASEO COLON AV.,BRASIL AV.,PASEO COLON AV. y BRASIL AV.,1,PEATON-PASAJEROS,PEATON,PASAJEROS
214,2017-0089,1,2017-07-13,2017,7,13,12:05:00,12,MARTINIANO LEGUIZAMON 901,CALLE,"LEGUIZAMON, MARTINIANO",Sin Cruce,"LEGUIZAMON, MARTINIANO 901",9,SD-AUTO,SD,AUTO
215,2017-0090,1,2017-07-15,2017,7,15,05:15:00,5,AV. CHIVILCOY Y COLECTORA AV. GRAL. PAZ ,GRAL PAZ,CHIVILCOY AV.,"PAZ, GRAL. AV.","CHIVILCOY AV. y PAZ, GRAL. AV.",11,PEATON-AUTO,PEATON,AUTO
216,2017-0091,1,2017-07-15,2017,7,15,13:00:00,13,SUPERI Y AV. GRAL. PAZ,GRAL PAZ,SUPERI,"PAZ, GRAL. AV.","SUPERI y PAZ, GRAL. AV.",12,MOTO-SD,MOTO,SD
217,2017-0092,1,2017-07-24,2017,7,24,22:16:01,22,AU 25 DE MAYO Y AU FRONDIZI (9 DE JULIO SUR),AUTOPISTA,AUTOPISTA 25 DE MAYO,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,AUTOPISTA 25 DE MAYO y AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,1,PEATON-AUTO,PEATON,AUTO
218,2017-0093,1,2017-07-25,2017,7,25,16:48:40,16,"AV. LEOPOLDO LUGONES KM 7,5, ALTURA PUENTE SCALABRINI ORTIZ, SENTIDO A CENTRO PORTEÑO",AUTOPISTA,"LUGONES, LEOPOLDO AV.",PUENTE DISTRIBUIDOR SCALABRINI ORTIZ,"LUGONES, LEOPOLDO AV. y PUENTE DISTRIBUIDOR SCALABRINI ORTIZ",13,PEATON-AUTO,PEATON,AUTO
219,2017-0094,1,2017-07-27,2017,7,27,08:50:00,8,VICTOR HUGO 2639,CALLE,"HUGO, VICTOR",Sin Cruce,"HUGO, VICTOR 2639",10,BICICLETA-CARGAS,BICICLETA,CARGAS
220,2017-0095,1,2017-08-06,2017,8,6,08:00:00,8,AV. CORDOBA Y JERONIMO SALGUERO,AVENIDA,CORDOBA AV.,"SALGUERO, JERONIMO","CORDOBA AV. y SALGUERO, JERONIMO",14,MOTO-AUTO,MOTO,AUTO
221,2017-0096,1,2017-08-07,2017,8,7,19:50:00,19,AV. CABILDO Y NUÑEZ,AVENIDA,CABILDO AV.,NU?EZ,CABILDO AV. y NUÃ‘EZ,13,PEATON-PASAJEROS,PEATON,PASAJEROS
222,2017-0098,1,2017-08-08,2017,8,8,12:10:00,12,JOSE BONIFACIO 2114,CALLE,"BONIFACIO, JOSE",Sin Cruce,"BONIFACIO, JOSE 2114",7,PEATON-AUTO,PEATON,AUTO
223,2017-0099,1,2017-08-17,2017,8,17,19:45:00,19,AV. PTE FIGUEROA ALCORTA 5400,AVENIDA,"FIGUEROA ALCORTA, PRES. AV.",Sin Cruce,"FIGUEROA ALCORTA, PRES. AV. 5400",14,BICICLETA-AUTO,BICICLETA,AUTO
224,2017-0100,1,2017-08-21,2017,8,21,07:45:00,7,VENEZUELA 2135,CALLE,REPUBLICA BOLIVARIANA DE VENEZUELA,Sin Cruce,REPUBLICA BOLIVARIANA DE VENEZUELA 2135,3,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO
225,2017-0101,1,2017-08-23,2017,8,23,10:00:00,10,AV. FCO. LACROZE Y ZAPATA,AVENIDA,"LACROZE, FEDERICO AV.",ZAPATA,"LACROZE, FEDERICO AV. y ZAPATA",13,MULTIPLE,PEATON,MULTIPLE
226,2017-0102,1,2017-08-24,2017,8,24,01:10:00,1,IRIARTE Y ZAVALETA,AVENIDA,"IRIARTE, GRAL. AV.",ZAVALETA,"IRIARTE, GRAL. AV. y ZAVALETA",4,PEATON-CARGAS,PEATON,CARGAS
227,2017-0104,1,2017-08-25,2017,8,25,09:00:00,9,AV. 9 DE JULIO Y ESTADOS UNIDOS,AVENIDA,9 DE JULIO AV.,ESTADOS UNIDOS,9 DE JULIO AV. y ESTADOS UNIDOS,1,PEATON-CARGAS,PEATON,CARGAS
228,2017-0106,1,2017-08-31,2017,8,31,19:50:00,19,FRAY JUSTO SANTAMARIA DE ORO Y GUEMES,CALLE,FRAY JUSTO SANTAMARIA DE ORO,GUEMES,FRAY JUSTO SANTAMARIA DE ORO y GUEMES,14,PEATON-PASAJEROS,PEATON,PASAJEROS
229,2017-0107,1,2017-09-01,2017,9,1,11:30:00,11,AV. DEL LIBERTADOR Y JARAMILLO,AVENIDA,DEL LIBERTADOR AV.,JARAMILLO,DEL LIBERTADOR AV. y JARAMILLO,13,MOTO-CARGAS,MOTO,CARGAS
230,2017-0108,2,2017-09-02,2017,9,2,04:53:08,4,AV. GRAL. PAZ Y MACHAIN,GRAL PAZ,"PAZ, GRAL. AV.",MACHAIN,"PAZ, GRAL. AV. y MACHAIN",12,AUTO-OBJETO FIJO,OBJETO FIJO,AUTO
231,2017-0109,1,2017-09-04,2017,9,4,21:00:00,21,AV. DIRECTORIO Y PORTELA,AVENIDA,DIRECTORIO AV.,PORTELA,DIRECTORIO AV. y PORTELA,7,MOTO-AUTO,MOTO,AUTO
232,2017-0110,1,2017-09-06,2017,9,6,14:15:00,14,LAVALLE Y AV. LEANDRO N ALEM,AVENIDA,LAVALLE,"ALEM, LEANDRO N. AV.","LAVALLE y ALEM, LEANDRO N. AV.",1,PEATON-PASAJEROS,PEATON,PASAJEROS
233,2017-0111,1,2017-09-07,2017,9,7,18:23:37,18,USPALLATA Y PIROVANO,CALLE,USPALLATA,PIROVANO,USPALLATA y PIROVANO,4,PEATON-CARGAS,PEATON,CARGAS
234,2017-0112,2,2017-09-10,2017,9,10,09:32:17,9,AU 25 DE MAYO Y AV. VARELA,AUTOPISTA,AUTOPISTA 25 DE MAYO,Sin Cruce,AUTOPISTA 25 DE MAYO y VARELA AV.,7,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO
235,2017-0113,1,2017-09-11,2017,9,11,06:30:00,6,AV. SANTA FE Y MAIPU,AVENIDA,SANTA FE AV.,MAIPU,SANTA FE AV. y MAIPU,1,PEATON-PASAJEROS,PEATON,PASAJEROS
236,2017-0114,1,2017-09-15,2017,9,15,02:30:00,2,AV. ALVEAR Y AV. DEL LIBERTADOR,AVENIDA,ALVEAR AV.,DEL LIBERTADOR AV.,ALVEAR AV. y DEL LIBERTADOR AV.,2,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO
237,2017-0115,1,2017-09-19,2017,9,19,18:52:33,18,AV. PAVON Y TREINTA Y TRES ORIENTALES,AVENIDA,PAVON AV.,TREINTA Y TRES ORIENTALES,PAVON AV. y TREINTA Y TRES ORIENTALES,5,MOTO-BICICLETA,MOTO,BICICLETA
238,2017-0116,1,2017-09-20,2017,9,20,22:24:00,22,COLECTORA AV. GRAL. PAZ 5750,GRAL PAZ,"PAZ, GRAL. AV.",Sin Cruce,"PAZ, GRAL. AV. 5750",12,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO
239,2017-0118,1,2017-09-22,2017,9,22,07:02:09,7,VIEYTES Y CRUZ,AVENIDA,VIEYTES,"CRUZ, OSVALDO AV.","VIEYTES y CRUZ, OSVALDO AV.",4,MOTO-AUTO,MOTO,AUTO
240,2017-0120,1,2017-10-02,2017,10,2,15:55:33,15,AU DELLEPIANE Y AV. ESCALADA,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,ESCALADA AV.,AUTOPISTA DELLEPIANE LUIS TTE. GRAL. y ESCALADA AV.,9,MOTO-CARGAS,MOTO,CARGAS
241,2017-0123,1,2017-10-10,2017,10,10,01:05:38,1,ALBARIÑO Y AV. ARGENTINA,AVENIDA,ALBARI?O,ARGENTINA AV.,ALBARIÃ‘O y ARGENTINA AV.,8,PEATON-AUTO,PEATON,AUTO
242,2017-0124,1,2017-10-12,2017,10,12,14:40:28,14,JUAN RAMIREZ DE VELAZCO 1211,CALLE,"RAMIREZ DE VELASCO, JUAN",Sin Cruce,"RAMIREZ DE VELASCO, JUAN 1211",15,MOTO-PASAJEROS,MOTO,PASAJEROS
243,2017-0125,1,2017-10-13,2017,10,13,06:12:20,6,AV. FERNANDEZ DE LA CRUZ Y LARRAYA,AVENIDA,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",LARRAYA,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. y LARRAYA",8,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO
244,2017-0126,2,2017-10-14,2017,10,14,06:15:00,6,AV. RIESTRA Y CAÑADA DE GOMEZ,AVENIDA,RIESTRA AV.,CA?ADA DE GOMEZ,RIESTRA AV. y CAÃ‘ADA DE GOMEZ,8,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO
245,2017-0127,1,2017-10-16,2017,10,16,07:45:00,7,GALLO Y AV. CORDOBA,AVENIDA,GALLO,CORDOBA AV.,GALLO y CORDOBA AV.,2,MOTO-MOTO,MOTO,MOTO
246,2017-0128,1,2017-10-17,2017,10,17,12:30:00,12,DR. JUAN F. ARANGUREN 611,CALLE,"ARANGUREN, JUAN F., DR.",Sin Cruce,"ARANGUREN, JUAN F., DR. 611",6,PEATON-PASAJEROS,PEATON,PASAJEROS
247,2017-0129,1,2017-10-26,2017,10,26,19:15:15,19,AU PERITO MORENO Y AU 25 DE MAYO,AUTOPISTA,AUTOPISTA PERITO MORENO,AUTOPISTA 25 DE MAYO,AUTOPISTA PERITO MORENO y AUTOPISTA 25 DE MAYO,9,MOTO-PASAJEROS,MOTO,PASAJEROS
248,2017-0130,1,2017-10-27,2017,10,27,05:30:00,5,CHORROARIN Y AV. SAN MARTIN,AVENIDA,CHORROARIN,SAN MARTIN AV.,CHORROARIN y SAN MARTIN AV.,15,AUTO-CARGAS,AUTO,CARGAS
249,2017-0132,1,2017-10-30,2017,10,30,14:00:00,14,COSQUIN Y AV. CNEL. ROCA,AVENIDA,COSQUIN,"ROCA, CNEL. AV.","COSQUIN y ROCA, CNEL. AV.",8,MOTO-PASAJEROS,MOTO,PASAJEROS
250,2017-0134,1,2017-11-06,2017,11,6,18:00:00,18,AV. CNEL. ROCA 3555,AVENIDA,"ROCA, CNEL. AV.",Sin Cruce,"ROCA, CNEL. AV. 3555",8,PEATON-PASAJEROS,PEATON,PASAJEROS
251,2017-0135,1,2017-11-07,2017,11,7,12:14:10,12,AV. WARNES Y PUNTA ARENAS,AVENIDA,WARNES AV.,PUNTA ARENAS,WARNES AV. y PUNTA ARENAS,15,MOTO-CARGAS,MOTO,CARGAS
252,2017-0136,1,2017-11-16,2017,11,16,08:43:00,8,DEL BARCO CENTENERA Y RABANAL,AVENIDA,BARCO CENTENERA DEL,"RABANAL, FRANCISCO, INTENDENTE AV.","BARCO CENTENERA DEL y RABANAL, FRANCISCO, INTENDENTE AV.",4,PEATON-PASAJEROS,PEATON,PASAJEROS
253,2017-0137,1,2017-11-17,2017,11,17,11:45:00,11,AV. GRAL. ENRIQUE MOSCONI Y SAN NICOLAS,AVENIDA,MOSCONI GENERAL AV.,SAN NICOLAS,MOSCONI GENERAL AV. y SAN NICOLAS,11,PEATON-CARGAS,PEATON,CARGAS
254,2017-0138,1,2017-11-19,2017,11,19,10:30:00,10,AV. LAFUENTE Y AV. EVA PERON,AVENIDA,LAFUENTE AV.,"PERON, EVA AV.","LAFUENTE AV. y PERON, EVA AV.",7,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO
255,2017-0139,1,2017-11-19,2017,11,19,22:30:00,22,AV. CNEL. ROCA Y AV. ESCALADA,AVENIDA,"ROCA, CNEL. AV.",ESCALADA AV.,"ROCA, CNEL. AV. y ESCALADA AV.",8,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO
256,2017-0140,1,2017-11-19,2017,11,19,23:22:17,23,AU ARTURO FRONDIZI PKM 3100,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,Sin Cruce,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,4,MOTO-PASAJEROS,MOTO,PASAJEROS
257,2017-0141,1,2017-11-23,2017,11,23,19:45:00,19,AV. LA PLATA Y AV. PEDRO GOYENA,AVENIDA,LA PLATA AV.,"GOYENA, PEDRO AV.","LA PLATA AV. y GOYENA, PEDRO AV.",6,PEATON-PASAJEROS,PEATON,PASAJEROS
258,2017-0143,1,2017-11-25,2017,11,25,21:45:00,21,TRELLES Y GRAL. CESAR DIAZ,CALLE,"TRELLES, MANUEL R.","DIAZ, CESAR, GRAL.","TRELLES, MANUEL R. y DIAZ, CESAR, GRAL.",11,AUTO-PASAJEROS,AUTO,PASAJEROS
259,2017-0144,1,2017-11-26,2017,11,26,06:45:00,6,AV. CNEL. ROCA Y COLECTORA AV. GRAL. PAZ,GRAL PAZ,"ROCA, CNEL. AV.","PAZ, GRAL. AV.","ROCA, CNEL. AV. y PAZ, GRAL. AV.",8,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO
260,2017-0145,1,2017-11-26,2017,11,26,17:05:00,17,MAZA Y DON BOSCO,CALLE,MAZA,DON BOSCO,MAZA y DON BOSCO,5,MOTO-AUTO,MOTO,AUTO
261,2017-0147,1,2017-11-28,2017,11,28,11:15:00,11,AV. GRAL. PAZ Y AV. EVA PERON,GRAL PAZ,"PAZ, GRAL. AV.","PERON, EVA AV.","PAZ, GRAL. AV. y PERON, EVA AV.",9,MOTO-AUTO,MOTO,AUTO
262,2017-0148,1,2017-11-29,2017,11,29,10:45:00,10,AV. SAN JUAN Y LA RIOJA,AVENIDA,SAN JUAN AV.,LA RIOJA,SAN JUAN AV. y LA RIOJA,3,PEATON-PASAJEROS,PEATON,PASAJEROS
263,2017-0149,1,2017-11-30,2017,11,30,12:20:00,12,AV. PASEO COLON Y MEXICO,AVENIDA,PASEO COLON AV.,MEXICO,PASEO COLON AV. y MEXICO,1,PEATON-PASAJEROS,PEATON,PASAJEROS
264,2017-0150,1,2017-12-04,2017,12,4,01:15:00,1,AV. RIVADAVIA Y MIRALLA,AVENIDA,RIVADAVIA AV.,MIRALLA,RIVADAVIA AV. y MIRALLA,9,PEATON-AUTO,PEATON,AUTO
265,2017-0151,1,2017-12-04,2017,12,4,02:15:00,2,VIEYTES Y LUJAN,CALLE,VIEYTES,LUJAN,VIEYTES y LUJAN,4,PEATON-PASAJEROS,PEATON,PASAJEROS
266,2017-0152,1,2017-12-06,2017,12,6,17:30:00,17,CACHI Y TRAFUL,CALLE,CACHI,TRAFUL,CACHI y TRAFUL,4,BICICLETA-PASAJEROS,BICICLETA,PASAJEROS
267,2017-0153,2,2017-12-11,2017,12,11,02:00:00,2,ROSARIO Y AV. LA PLATA,AVENIDA,ROSARIO,LA PLATA AV.,ROSARIO y LA PLATA AV.,6,MOTO-PASAJEROS,MOTO,PASAJEROS
268,2017-0154,1,2017-12-11,2017,12,11,09:15:00,9,AV. ENTRE RIOS Y AV. CASEROS ,AVENIDA,ENTRE RIOS AV.,CASEROS AV.,ENTRE RIOS AV. y CASEROS AV.,4,PEATON-PASAJEROS,PEATON,PASAJEROS
269,2017-0155,1,2017-12-12,2017,12,12,21:25:41,21,AV. RIVADAVIA 6350,AVENIDA,RIVADAVIA AV.,Sin Cruce,RIVADAVIA AV. 6350,7,SD-MOTO,SD,MOTO
270,2017-0157,1,2017-12-17,2017,12,17,09:02:00,9,AV. GRAL. PAZ Y HUMAITA,GRAL PAZ,"PAZ, GRAL. AV.",HUMAITA,"PAZ, GRAL. AV. y HUMAITA",9,AUTO-PASAJEROS,AUTO,PASAJEROS
271,2017-0158,1,2017-12-18,2017,12,18,21:30:00,21,GUALEGUAYCHU Y COLECTORA AV. GRAL PAZ,GRAL PAZ,GUALEGUAYCHU,"PAZ, GRAL. AV.","GUALEGUAYCHU y PAZ, GRAL. AV.",11,MOTO-AUTO,MOTO,AUTO
272,2017-0159,1,2017-12-20,2017,12,20,04:31:27,4,AV. INDEPENDENCIA Y VIRREY CEVALLOS,AVENIDA,INDEPENDENCIA AV.,"CEVALLOS, VIRREY","INDEPENDENCIA AV. y CEVALLOS, VIRREY",1,MOTO-AUTO,MOTO,AUTO
273,2017-0160,1,2017-12-22,2017,12,22,13:15:00,13,AV. NAZCA 365,AVENIDA,NAZCA AV.,Sin Cruce,NAZCA AV. 365,7,PEATON-MOTO,PEATON,MOTO
274,2017-0161,1,2017-12-26,2017,12,26,15:30:00,15,AV. EVA PERON 5249,AVENIDA,"PERON, EVA AV.",Sin Cruce,"PERON, EVA AV. 5249",9,PEATON-AUTO,PEATON,AUTO
275,2018-0001,1,2018-01-01,2018,1,1,22:50:00,22,San Juan Av. Y Rincón,AVENIDA,SAN JUAN AV.,RINCON,SAN JUAN AV. y RINCON,3,PEATON-MOTO,PEATON,MOTO
276,2018-0002,1,2018-01-03,2018,1,3,16:40:00,16,Peru 937,CALLE,PERU,Sin Cruce,PERU 937,1,BICICLETA-PASAJEROS,BICICLETA,PASAJEROS
