,ID,N_VICTIMAS,FECHA,AAAA,MM,DD,HORA,HH,LUGAR_DEL_HECHO,TIPO_DE_CALLE,Calle,Cruce,Dirección Normalizada,COMUNA,PARTICIPANTES,VICTIMA,ACUSADO
37,2016-0051,1,2016-04-20,2016,4,20,04:00:00,4,AV AMANCIO ALCORTA Y BONAVENA,AVENIDA,"ALCORTA, AMANCIO AV.","BONAVENA, OSCAR NATALIO","ALCORTA, AMANCIO AV. y BONAVENA, OSCAR NATALIO",4,MOTO-CARGAS,MOTO,CARGAS
38,2016-0052,1,2016-04-20,2016,4,20,20:00:00,20,AUTOPISTA LUGONES PK 10000,AUTOPISTA,"LUGONES, LEOPOLDO AV.",Sin Cruce,AUTOPISTA LUGONES PK 10000,13,MOTO-SD,MOTO,SD
39,2016-0053,1,2016-04-22,2016,4,22,09:30:00,9,AV TRIUNVIRATO Y AV OLAZABAL,AVENIDA,TRIUNVIRATO AV.,OLAZABAL AV.,TRIUNVIRATO AV. y OLAZABAL AV.,12,PEATON-PASAJEROS,PEATON,PASAJEROS
40,2016-0054,1,2016-04-23,2016,4,23,21:00:00,21,AU LUIS DELLEPIANE Y AV GRAL PAZ,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,"PAZ, GRAL. AV.","AUTOPISTA DELLEPIANE LUIS TTE. GRAL. y PAZ, GRAL. AV.",8,MOTO-MOTO,MOTO,MOTO
41,2016-0055,1,2016-04-25,2016,4,25,20:30:00,20,RAMON CASTILLA Y AV FIGUEROA ALCORTA,AVENIDA,"CASTILLA, RAMON, MARISCAL","FIGUEROA ALCORTA, PRES. AV.","CASTILLA, RAMON, MARISCAL y FIGUEROA ALCORTA, PRES. AV.",14,PEATON-CARGAS,PEATON,CARGAS
42,2016-0056,1,2016-04-26,2016,4,26,04:45:00,4,AV LUIS MARIA CAMPOS 30,AVENIDA,"CAMPOS, LUIS M. AV.",Sin Cruce,"CAMPOS, LUIS M. AV. 30",14,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO
43,2016-0058,1,2016-05-04,2016,5,4,14:00:00,14,LIMA 1471,CALLE,LIMA,Sin Cruce,LIMA 1471,1,PEATON-MOTO,PEATON,MOTO
44,2016-0059,1,2016-05-08,2016,5,8,16:30:00,16,PASAJE CIUDADELA Y LIMA OESTE,CALLE,CIUDADELA,LIMA,CIUDADELA y LIMA,1,PEATON-PASAJEROS,PEATON,PASAJEROS
45,2016-0064,1,2016-05-14,2016,5,14,18:11:00,18,AV JUAN B JUSTO Y AV CARRASCO,AVENIDA,"JUSTO, JUAN B. AV.",CARRASCO AV.,"JUSTO, JUAN B. AV. y CARRASCO AV.",10,PEATON-PASAJEROS,PEATON,PASAJEROS
46,2016-0065,1,2016-05-20,2016,5,20,14:40:00,14,AV GAONA Y ESPINOSA,AVENIDA,GAONA AV.,ESPINOSA,GAONA AV. y ESPINOSA,6,PEATON-AUTO,PEATON,AUTO
47,2016-0067,1,2016-05-21,2016,5,21,17:00:00,17,AV LISANDRO DE LA TORRE Y SARAZA,AVENIDA,"DE LA TORRE, LISANDRO",SARAZA,"DE LA TORRE, LISANDRO y SARAZA",8,MOTO-PASAJEROS,MOTO,PASAJEROS
48,2016-0068,1,2016-05-22,2016,5,22,22:00:00,22,AV FIGUEROA ALCORTA Y AV PUEYRREDON,AVENIDA,"FIGUEROA ALCORTA, PRES. AV.",PUEYRREDON AV.,"FIGUEROA ALCORTA, PRES. AV. y PUEYRREDON AV.",2,MOTO-PASAJEROS,MOTO,PASAJEROS
49,2016-0069,1,2016-05-23,2016,5,23,03:30:00,3,AV ENTRE RIOS Y PASAJE FILIBERTO,AVENIDA,ENTRE RIOS AV.,FILIBERTO,ENTRE RIOS AV. y FILIBERTO,3,AUTO-CARGAS,AUTO,CARGAS
50,2016-0073,1,2016-06-11,2016,6,11,15:00:00,15,MAGARIÑOS CERVANTES 3900,CALLE,"MAGARI?OS CERVANTES, A.",Sin Cruce,"MAGARIÃ‘OS CERVANTES, A. 3900",10,MOTO-CARGAS,MOTO,CARGAS
